consulta,origen,destino,dist_dijkstra,saltos_bfs,nodos_dijkstra,nodos_bfs,t_dijkstra_ms,t_bfs_ms
Q1,1,500000,507,101,1087562,1087562,346.067,66.1054
Q2,100,1000000,2376,484,1087562,1087562,312.084,60.314
Q3,50000,750000,2585,545,1087562,1087562,265.613,53.9311
Q4,200000,800000,613,124,1087562,1087562,282.113,57.7344
Q5,300000,100000,3068,666,1087562,1087562,278.025,55.059
Q6,1,1087562,451,95,1087562,1087562,282.43,59.9161
Q7,500000,1,507,101,1087562,1087562,286.796,62.4733
Q8,250000,600000,1420,300,1087562,1087562,278.882,60.7757
Q9,10000,900000,848,169,1087562,1087562,267.85,56.6291
Q10,400000,150000,791,167,1087562,1087562,270.578,79.2828
