# Subgrafo inducido por caminos Q01 y Q06
216 222
0 1 5
0 79 4
0 82 10
2 64 4
2 160 1
3 16 6
3 4 4
4 7 2
5 7 1
5 10 9
6 8 1
6 13 8
8 12 4
9 11 9
9 10 9
11 12 2
13 14 4
14 15 5
15 17 1
16 90 8
17 18 2
18 23 8
19 20 1
19 27 3
20 24 6
20 27 7
21 71 1
21 75 5
22 31 1
22 32 1
23 25 5
24 25 4
26 30 7
26 31 2
27 28 3
28 29 5
29 30 2
32 77 2
33 34 1
33 35 6
34 61 2
35 47 3
36 38 1
36 37 3
36 40 2
37 44 7
37 38 1
39 40 6
39 41 8
41 42 5
42 43 3
43 52 1
44 49 5
45 46 6
45 48 4
46 47 4
48 49 7
50 51 9
50 89 10
51 52 4
53 54 10
53 65 6
54 55 1
55 69 5
56 57 2
56 67 2
57 60 5
58 68 1
58 59 3
59 67 7
59 66 3
60 62 3
61 63 1
62 63 8
64 70 3
65 70 8
66 69 6
67 68 1
71 74 6
71 75 10
72 84 2
72 88 4
73 74 7
73 78 2
75 76 4
76 77 2
78 88 5
79 80 6
80 81 4
81 89 5
82 83 2
83 86 3
84 87 3
85 86 1
85 87 8
90 147 3
91 92 1
91 93 2
92 94 7
93 198 4
94 95 2
95 96 4
96 199 2
97 98 4
97 102 1
98 155 2
99 102 6
99 103 5
100 101 5
100 113 8
101 103 5
104 105 8
104 106 10
105 114 5
106 115 2
107 108 1
107 112 2
108 113 9
109 110 1
109 111 1
110 114 4
111 112 4
115 125 3
116 123 9
116 117 4
117 126 5
118 126 8
118 124 2
119 120 10
119 122 8
120 121 3
121 125 8
122 123 7
124 127 2
127 128 6
128 134 8
129 133 4
129 131 4
130 136 3
130 137 8
131 132 4
132 135 3
133 134 4
135 136 3
137 146 10
138 139 3
138 142 10
139 140 7
140 143 10
141 142 5
141 144 9
143 145 4
144 146 6
145 147 7
148 149 2
148 152 10
148 153 10
149 153 3
150 151 2
150 154 1
151 153 2
152 159 9
154 157 1
155 156 2
156 158 3
158 159 4
160 161 4
161 162 2
162 187 5
163 167 7
163 184 4
164 165 2
164 166 3
165 185 7
166 173 6
167 171 2
168 169 7
168 176 3
169 174 5
170 171 6
170 172 10
172 175 4
173 176 8
174 178 5
175 185 3
177 178 1
177 179 1
178 179 8
179 186 5
180 187 3
180 186 10
181 183 9
181 203 7
181 204 3
182 183 2
182 184 8
188 189 2
188 191 6
189 201 2
190 191 6
190 197 2
192 193 1
192 213 7
193 196 1
194 197 8
194 195 10
195 196 4
198 215 6
199 200 7
200 201 1
202 206 6
202 207 2
203 204 1
203 205 3
205 206 2
207 214 3
208 209 4
208 210 2
209 214 4
210 212 5
211 213 6
211 212 1
